,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
191,Cummins,4.3,4k,Industrial Machinery | Pune +115 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,15.7k,293,133,464,16
192,Alembic Pharmaceuticals,3.9,4k,Pharma | Vadodara +188 other locations,"Salary, Work Life Balance",None,15.5k,263,50,385,9
193,Bank of America,4.1,4k,Banking | Gurugram +34 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,30.1k,297,--,418,--
194,Pidilite Industries,4.2,3.9k,Chemicals | Mumbai +321 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,11.9k,270,24,363,5
195,Grasim Industries,4.0,3.9k,Building Material | Bharuch +262 other locations,"Job Security, Skill Development, Company Culture",Promotions,13.2k,294,13,275,11
196,Cloudnine Hospital,4.5,3.9k,Healthcare | Bengaluru +46 other locations,"Company Culture, Skill Development, Work Life Balance",None,3.1k,1.5k,25,125,7
197,Oyo Rooms,3.0,3.9k,Hospitality | Gurugram +121 other locations,None,"Job Security, Company Culture, Work Satisfaction",13.8k,260,152,397,14
198,Aditya Birla Sun Life Insurance,4.0,3.9k,Insurance | Mumbai +508 other locations,"Work Life Balance, Company Culture, Job Security",None,10.6k,188,--,218,23
199,American Express,4.1,3.9k,Financial Services | Gurugram +54 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,25.8k,434,91,447,10
200,PNB MetLife,3.3,3.9k,Insurance | New Delhi +434 other locations,None,"Company Culture, Work Satisfaction, Job Security",8k,199,4,228,18
201,Kyndryl,4.0,3.9k,IT Services & Consulting | Bengaluru +39 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions,27.6k,236,394,166,60
202,Subros,3.8,3.9k,Auto Components | Noida +88 other locations,"Job Security, Skill Development","Salary, Promotions",12.9k,223,1,385,11
203,ADP Private Limited,3.9,3.9k,Software Product | Hyderabad +41 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",22.4k,297,57,464,16
204,Aditya Birla Capital,3.8,3.9k,NBFC | Mumbai +350 other locations,None,Promotions,14.4k,267,1,222,30
205,KPIT Technologies,2.8,3.8k,Software Product | Pune +43 other locations,None,"Job Security, Promotions, Work Satisfaction",24.2k,351,5,293,17
206,Altruist Technologies,4.4,3.8k,BPO | Bengaluru +43 other locations,"Job Security, Company Culture, Work Life Balance",None,8.4k,724,5,84,6
207,Viatris,4.1,3.8k,Pharma | Hyderabad +80 other locations,"Salary, Job Security, Work Life Balance",None,14.4k,172,11,503,13
208,Escorts Kubota Limited,4.1,3.8k,Industrial Machinery | Faridabad +159 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,13.9k,308,1,258,26
209,XpressBees,4.2,3.8k,Logistics | Pune +481 other locations,"Work Life Balance, Skill Development, Company Culture",None,8.3k,448,10,180,25
210,PVR INOX,3.9,3.8k,Media & Entertainment | New Delhi +152 other locations,None,Promotions,9.6k,221,36,251,5
211,Maersk,3.9,3.8k,Logistics | Chennai +50 other locations,"Work Life Balance, Company Culture",Promotions,19.6k,254,37,425,26
212,Reliance Communications,4.0,3.8k,Telecom | Mumbai +465 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions,9.3k,107,--,380,1
213,Birlasoft,3.4,3.8k,IT Services & Consulting | Pune +50 other locations,None,"Promotions, Salary, Work Satisfaction",30.2k,319,576,242,8
214,JK Cement,4.0,3.8k,Building Material | New Delhi +332 other locations,Salary,None,10.5k,351,2,266,28
215,Synechron,3.4,3.8k,IT Services & Consulting | Pune +33 other locations,None,"Job Security, Promotions, Work Satisfaction",29.1k,409,129,247,10
216,Glenmark Pharmaceuticals,3.8,3.7k,Pharma | Mumbai +190 other locations,None,Promotions,12.3k,189,474,326,1
217,Kotak Mahindra Life Insurance Company,3.5,3.7k,Insurance | Mumbai +259 other locations,None,"Promotions, Work Satisfaction, Company Culture",12.6k,264,257,261,6
218,Bharat Electronics,4.2,3.7k,Electronics Manufacturing | Bengaluru +87 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None,12.8k,252,--,315,1
219,PhonePe,4.0,3.7k,FinTech | Bengaluru +405 other locations,"Salary, Work Life Balance, Company Culture",None,13.8k,442,92,199,11
220,Dabur,3.8,3.7k,FMCG | New Delhi +318 other locations,Salary,Promotions,9.1k,341,39,280,5
221,Sodexo,4.0,3.7k,Hospitality | Mumbai +161 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,10k,211,680,369,22
222,Cogent E Services,3.1,3.7k,BPO | Noida +57 other locations,None,"Salary, Company Culture, Work Satisfaction",10.4k,299,2,223,13
223,Godrej & Boyce Manufacturing,3.8,3.7k,Consumer Electronics & Appliances | Mumbai +170 other locations,Job Security,Promotions,15.2k,237,29,413,3
224,Blinkit,3.8,3.7k,Internet | Gurugram +158 other locations,Salary,"Promotions, Job Security",14.1k,380,--,223,27
225,Abbott,4.1,3.7k,Pharma | Mumbai +214 other locations,"Work Life Balance, Skill Development, Salary",Promotions,12.3k,186,255,368,8
226,Ipca Laboratories,3.8,3.6k,Pharma | Mumbai +163 other locations,"Job Security, Work Life Balance, Skill Development","Promotions, Salary",11.6k,217,58,249,4
227,Samvardhana Motherson Group,3.7,3.6k,Auto Components | Noida +94 other locations,Job Security,"Promotions, Company Culture, Work Satisfaction",12k,261,43,406,11
228,Aarti Industries,4.1,3.6k,Agro Chemicals | Bharuch +59 other locations,"Job Security, Work Life Balance, Company Culture",None,14.5k,337,57,356,6
229,UNO Minda,4.0,3.6k,Auto Components | Pune +111 other locations,"Job Security, Company Culture, Skill Development",Promotions,11.7k,267,65,301,6
230,Reliance Projects & Property Management Services,4.0,3.6k,Other | Kolkata +625 other locations,"Work Life Balance, Job Security, Skill Development",Promotions,7.4k,215,--,23,6
231,ArcelorMittal Nippon Steel India,4.1,3.6k,Iron & Steel | Surat +88 other locations,"Work Life Balance, Job Security, Company Culture",None,12.6k,284,8,121,6
232,Reliance Digital,4.1,3.6k,Retail | Mumbai +384 other locations,"Skill Development, Job Security, Company Culture",None,8.3k,175,2,246,28
233,IGT Solutions,3.2,3.6k,BPO | New Delhi +48 other locations,None,"Promotions, Salary, Company Culture",13.8k,257,83,217,14
234,MRF Tyres,3.6,3.6k,Auto Components | Chennai +194 other locations,None,"Company Culture, Work Satisfaction, Work Life Balance",13.3k,388,12,350,9
235,Indian Oil Corporation,4.4,3.6k,Oil & Gas | New Delhi +312 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,7.9k,244,--,295,32
236,Johnson Controls,3.5,3.5k,Industrial Automation | Pune +58 other locations,None,"Promotions, Work Satisfaction, Skill Development",17.8k,309,13,269,28
237,"NTT DATA, Inc.",3.9,3.5k,IT Services & Consulting | Bengaluru +38 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,21.2k,160,130,631,7
238,Alkem Laboratories,3.9,3.5k,Pharma | Mumbai +200 other locations,"Work Life Balance, Salary",None,10.2k,203,21,334,2
239,[24]7.ai,3.4,3.5k,Hospitality | Bengaluru +36 other locations,None,"Promotions, Salary, Work Satisfaction",11.7k,193,67,411,10
240,Honda Motorcycle & Scooter,4.1,3.5k,Automobile | Gurugram +301 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,11.2k,209,--,350,4
241,Vishal Mega Mart,3.7,3.5k,Retail | New Delhi +379 other locations,Salary,"Company Culture, Work Satisfaction, Job Security",6.3k,220,2,279,12
242,Hindustan Coca Cola Beverages,4.0,3.5k,Beverage | Bengaluru +264 other locations,"Salary, Skill Development, Company Culture",Promotions,7.8k,188,42,389,4
243,UBS,3.8,3.5k,Financial Services | Pune +19 other locations,Work Life Balance,"Promotions, Job Security",32.3k,378,4,121,11
244,Barclays,3.7,3.4k,Banking | Pune +38 other locations,None,"Promotions, Skill Development, Work Satisfaction",34.1k,324,--,257,28
245,Bajaj General Insurance Limited,3.7,3.4k,Insurance | Pune +307 other locations,None,"Promotions, Work Satisfaction, Company Culture",10.8k,143,491,242,9
246,DTDC Express,3.7,3.4k,Logistics | New Delhi +273 other locations,None,"Promotions, Salary, Company Culture",8.9k,201,54,272,3
247,IndusInd Nippon Life Insurance,3.4,3.4k,Mumbai +493 other locations,None,"Job Security, Company Culture, Work Satisfaction",8.1k,173,1,233,13
248,ABB,4.0,3.4k,Industrial Machinery | Bengaluru +109 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,18.9k,299,382,353,5
249,Ceat Tyres,3.9,3.4k,Auto Components | Nagpur +141 other locations,"Job Security, Company Culture, Skill Development","Promotions, Salary",13.1k,216,47,350,8
250,RSPL Group,4.0,3.4k,FMCG | Kanpur +260 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,9.8k,265,42,303,8
251,TVS Credit Services Ltd,4.2,3.4k,NBFC | Chennai +444 other locations,"Salary, Company Culture, Work Life Balance",None,7.5k,169,51,201,12
252,Ford Motor,4.2,3.4k,Automobile | Chennai +130 other locations,"Company Culture, Work Life Balance, Salary",Promotions,15.6k,176,6,402,12
253,NatWest Group,3.9,3.4k,Banking | Gurugram +29 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",21.9k,240,102,368,11
254,AGS Health,4.0,3.4k,Analytics & KPO | Chennai +64 other locations,"Company Culture, Job Security, Work Life Balance",Promotions,15k,221,41,279,--
255,HARMAN,3.8,3.3k,Consumer Electronics & Appliances | Bengaluru +42 other locations,"Work Life Balance, Company Culture",Promotions,24.2k,296,165,104,3
256,Alstom Transportation,3.7,3.3k,Engineering & Construction | Bengaluru +80 other locations,Job Security,"Promotions, Company Culture, Work Satisfaction",15.8k,285,201,182,8
257,Croma,3.8,3.3k,Retail | Mumbai +191 other locations,"Work Life Balance, Skill Development",Promotions,9.6k,192,58,193,9
258,InterGlobe Aviation,3.4,3.3k,Aviation | New Delhi +104 other locations,None,"Promotions, Salary, Work Life Balance",13.9k,381,29,323,5
259,Conduent,3.4,3.3k,BPO | Bengaluru +36 other locations,None,"Promotions, Salary, Skill Development",17.3k,241,484,370,10
260,Niva Bupa Health Insurance Company,4.0,3.3k,Insurance | New Delhi +323 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None,8.6k,384,89,124,13
261,Indian Air Force,4.6,3.3k,Defence & Aerospace | New Delhi +134 other locations,"Job Security, Company Culture, Skill Development",None,5.3k,86,2,357,--
262,Tata Technologies,3.4,3.3k,Automobile | Pune +57 other locations,None,"Promotions, Salary, Work Satisfaction",23.3k,316,178,315,14
263,Tata AIG,4.0,3.3k,Insurance | Mumbai +262 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,12k,197,68,250,6
264,GeBBS Healthcare Solutions,3.8,3.3k,BPO | Mumbai +26 other locations,Job Security,"Promotions, Salary",11.4k,186,68,295,11
265,Canara HSBC Life Insurance,4.1,3.3k,Insurance | Gurugram +366 other locations,"Salary, Work Life Balance, Skill Development",None,6.5k,579,--,187,10
266,UPL,4.1,3.2k,Agro Chemicals | Ankleshwar +185 other locations,"Job Security, Work Life Balance, Skill Development",None,11.2k,225,41,297,2
267,Sagility,3.9,3.2k,BPO | Bengaluru +28 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",12.9k,254,82,61,85
268,Tata AutoComp Systems,3.7,3.2k,Auto Components | Pune +78 other locations,Job Security,"Promotions, Salary, Company Culture",10.9k,219,63,183,5
269,PepsiCo,4.0,3.2k,Food Processing | Hyderabad +280 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,14.2k,251,186,251,18
270,Allcargo Logistics,3.8,3.2k,Logistics | Mumbai +175 other locations,None,Promotions,7.1k,140,25,339,10
271,Jindal Stainless,4.2,3.2k,Iron & Steel | Jajpur +77 other locations,"Job Security, Work Life Balance, Skill Development",None,11.8k,329,124,202,12
272,Max Healthcare,4.0,3.2k,Healthcare | New Delhi +78 other locations,"Job Security, Skill Development, Company Culture",Promotions,10.6k,196,146,283,26
273,Mankind Pharma,3.8,3.2k,Pharma | New Delhi +247 other locations,Salary,None,9.8k,261,5,256,15
274,Titan Company,4.2,3.2k,Retail | Bengaluru +186 other locations,"Company Culture, Job Security, Work Life Balance",Promotions,10k,211,73,336,16
275,Dilip Buildcon,3.9,3.2k,Engineering & Construction | Bhopal +230 other locations,Salary,"Promotions, Job Security",8.1k,195,9,302,26
276,Amazon Transportation Services,4.2,3.2k,Logistics | Hyderabad +224 other locations,"Company Culture, Skill Development, Salary",None,8.7k,261,--,250,23
277,Walmart,3.5,3.1k,Retail | Bengaluru +91 other locations,None,"Promotions, Work Satisfaction, Job Security",24.3k,447,222,324,12
278,S&P Global,4.0,3.1k,Analytics & KPO | Hyderabad +48 other locations,"Company Culture, Work Life Balance",Promotions,21.1k,337,163,219,--
279,Societe Generale Global Solution Centre,3.6,3.1k,IT Services & Consulting | Bengaluru +23 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",23.6k,305,41,297,--
280,Varroc Group,3.6,3.1k,Auto Components | Pune +63 other locations,None,"Promotions, Job Security, Company Culture",9.7k,226,23,234,5
281,MSN Laboratories,3.6,3.1k,Pharma | Hyderabad +106 other locations,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",9.7k,180,40,161,7
282,Marpu Foundation,4.9,3.1k,Non-Profit | Hyderabad +61 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None,61,266,--,8,5
283,Quest Global,3.5,3.1k,IT Services & Consulting | Bengaluru +49 other locations,None,"Promotions, Salary, Work Satisfaction",22.2k,368,204,197,11
284,Afcons Infrastructure,4.2,3.1k,Engineering & Construction | Mumbai +124 other locations,"Job Security, Skill Development, Company Culture",None,8.8k,274,35,319,14
285,Ola Electric Mobility,3.3,3.1k,Automobile | Bengaluru +443 other locations,Salary,"Job Security, Promotions, Company Culture",9.6k,312,--,83,29
286,Torrent Pharmaceuticals,4.0,3.1k,Pharma | Ahmedabad +132 other locations,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",10.5k,173,32,314,3
287,ESAF Small Finance Bank,3.6,3.1k,Banking | Thrissur +458 other locations,None,"Promotions, Work Satisfaction, Company Culture",7.8k,176,60,109,23
288,IDFC FIRST Bharat,4.2,3.1k,Financial Services | Chennai +444 other locations,"Salary, Company Culture, Work Life Balance",None,5.1k,158,9,78,2
289,Square Yards,3.5,3k,Internet | Gurugram +51 other locations,None,"Job Security, Company Culture, Work Life Balance",9.6k,235,97,237,37
290,HDFC Sales,3.9,3k,Financial Services | Mumbai +352 other locations,"Skill Development, Company Culture, Work Life Balance","Promotions, Salary",8.2k,198,22,194,2
291,DS Group,4.1,3k,FMCG | Noida +288 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,7.5k,233,43,218,7
292,Tata Elxsi,3.4,3k,IT Services & Consulting | Bengaluru +31 other locations,None,"Promotions, Salary, Work Satisfaction",24.3k,345,90,205,8
293,Future Group,4.2,3k,Retail | Mumbai +207 other locations,"Company Culture, Work Life Balance, Skill Development",None,6.4k,84,--,423,3
294,Zensar Technologies,3.7,3k,IT Services & Consulting | Pune +29 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction",25.8k,285,437,246,24
295,CMS IT Services,3.1,3k,IT Services & Consulting | Mumbai +153 other locations,None,"Promotions, Salary, Company Culture",9.4k,161,57,195,7
296,Bharat Financial Inclusion,3.7,3k,Financial Services | Hyderabad +510 other locations,Salary,"Promotions, Work Satisfaction",5.5k,128,1,180,24
297,Suzlon Group,4.0,3k,Power | Pune +146 other locations,"Job Security, Skill Development, Company Culture","Promotions, Salary",7.9k,183,21,328,5
298,Tata Electronics,3.9,3k,Semiconductors | Hosur +59 other locations,Job Security,"Promotions, Salary",12.7k,288,109,72,6
299,I Process Services,3.8,3k,Recruitment | Mumbai +405 other locations,Work Life Balance,"Promotions, Salary",5.6k,140,--,128,4
300,Indus Towers,3.6,3k,Telecom | Gurugram +244 other locations,None,"Promotions, Job Security, Work Life Balance",9.4k,229,56,205,11
301,ACC,3.9,3k,Building Material | Mumbai +275 other locations,None,"Promotions, Job Security",9k,238,13,275,5
302,Fujitsu,3.8,3k,IT Services & Consulting | Pune +41 other locations,"Work Life Balance, Company Culture",Promotions,17.8k,214,148,195,19
303,VVDN Technologies,3.6,3k,IT Services & Consulting | Gurugram +51 other locations,None,"Promotions, Salary, Company Culture",14.1k,266,7,132,12
304,Eternal Limited,3.6,3k,Internet | Gurugram +219 other locations,None,"Job Security, Promotions, Work Life Balance",15.3k,366,24,223,12
305,Zepto,3.6,3k,Internet | Bengaluru +107 other locations,None,"Company Culture, Job Security, Promotions",10.5k,472,42,43,13
306,IKS Health,3.6,2.9k,BPO | Mumbai +32 other locations,None,"Promotions, Salary, Work Satisfaction",11.6k,272,12,234,14
307,Nokia,4.0,2.9k,Telecom | Bengaluru +165 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,17.2k,331,167,545,15
308,Shoppers Stop,4.0,2.9k,Retail | Mumbai +85 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,7k,149,37,320,17
309,Yazaki,3.9,2.9k,Auto Components | Pune +94 other locations,"Job Security, Skill Development",Promotions,9.3k,194,1,259,2
310,Shree Cement,3.8,2.9k,Building Material | Beawar +263 other locations,None,"Promotions, Job Security",10k,236,11,223,15
311,Apollo Tyres,4.0,2.9k,Auto Components | Chennai +179 other locations,"Company Culture, Work Life Balance, Job Security",Promotions,10k,155,19,323,7
312,Fiserv,2.8,2.9k,FinTech | Pune +33 other locations,None,"Promotions, Company Culture, Job Security",17.7k,199,10,319,11
313,Britannia,4.0,2.8k,Hospitality | Pune +306 other locations,"Job Security, Skill Development",Promotions,8.3k,240,19,252,8
314,Landmark Group,3.8,2.8k,Retail | Bengaluru +175 other locations,Job Security,Promotions,9.6k,180,5,268,9
315,Dalmia Bharat Cement,3.9,2.8k,Building Material | Guwahati +256 other locations,"Job Security, Salary",Promotions,5.9k,208,1,249,16
316,SRF,4.1,2.8k,Chemicals | Bharuch +67 other locations,"Job Security, Salary, Company Culture",Promotions,9.2k,212,13,255,5
317,Kansai Nerolac Paints,3.8,2.8k,Chemicals | Mumbai +262 other locations,None,Promotions,8k,198,67,198,6
318,Blue Dart Express Ltd,3.9,2.8k,Logistics | Mumbai +279 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,6.9k,135,10,237,9
319,UnitedHealth,4.0,2.8k,Healthcare | Hyderabad +18 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,13.8k,84,--,432,--
320,Exl India,3.5,2.8k,Logistics | New Delhi +45 other locations,Job Security,"Promotions, Salary, Skill Development",17.9k,135,--,168,1
321,Nestlé,3.8,2.8k,FMCG | Gurugram +283 other locations,Salary,"Promotions, Work Life Balance, Work Satisfaction",10.1k,288,19,321,19
322,ZS,3.1,2.8k,Management Consulting | Pune +17 other locations,None,"Work Life Balance, Work Satisfaction, Promotions",21.8k,530,119,267,23
323,Exide Industries,3.4,2.8k,Auto Components | Kolkata +198 other locations,None,"Promotions, Company Culture, Work Satisfaction",8.7k,222,52,245,6
324,Shell,3.9,2.8k,Oil & Gas | Bengaluru +91 other locations,"Work Life Balance, Company Culture, Salary","Promotions, Job Security",14.3k,239,35,262,8
325,Star Health & Allied Insurance,3.5,2.7k,Insurance | Chennai +336 other locations,None,"Promotions, Company Culture, Work Satisfaction",10.4k,159,28,171,17
326,Physicswallah,3.6,2.7k,EdTech | Noida +139 other locations,None,"Promotions, Job Security, Company Culture",9.1k,304,359,44,11
327,KPMG Global Services,3.4,2.7k,Management Consulting | Bengaluru +38 other locations,None,"Promotions, Work Satisfaction, Salary",24.5k,271,44,10,--
328,Foxconn,3.8,2.7k,Electronics Manufacturing | Chennai +64 other locations,Job Security,Promotions,11.7k,242,83,180,3
329,Flex,3.9,2.7k,Electronics Manufacturing | Chennai +46 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,15.7k,215,40,440,14
330,TVS Supply Chain Solutions,3.8,2.7k,Logistics | Chennai +155 other locations,None,"Promotions, Salary",8.5k,162,16,197,21
331,Micro Labs,3.6,2.7k,Pharma | Bengaluru +155 other locations,Job Security,"Promotions, Salary, Company Culture",9.9k,157,22,209,2
332,ElasticRun,3.6,2.7k,Logistics | Pune +390 other locations,Salary,"Job Security, Promotions, Work Satisfaction",6.3k,280,5,228,45
333,KFintech,3.3,2.7k,Financial Services | Hyderabad +113 other locations,None,"Promotions, Salary, Skill Development",11.2k,180,20,54,2
334,Whitehat jr,3.3,2.7k,EdTech | Mumbai +48 other locations,None,"Job Security, Promotions, Company Culture",8.9k,265,--,944,3
335,Capita,3.5,2.7k,BPO | Pune +32 other locations,None,"Promotions, Salary, Job Security",12.6k,169,43,332,3
336,G4S,4.0,2.7k,Law Enforcement & Security | Gurugram +165 other locations,"Work Life Balance, Job Security, Salary",Promotions,5.2k,135,825,242,15
337,Ajanta Pharma,3.9,2.7k,Pharma | Mumbai +118 other locations,Job Security,Promotions,9k,170,17,216,10
338,Blue Star,4.0,2.7k,Consumer Electronics & Appliances | Mumbai +148 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions,10k,201,74,243,18
339,Care Health Insurance,3.5,2.7k,Insurance | Gurugram +253 other locations,None,"Promotions, Salary, Company Culture",8.7k,166,45,168,2
340,Voltas,4.0,2.7k,Consumer Electronics & Appliances | Mumbai +203 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,8.6k,177,33,258,1
341,Movate,3.1,2.6k,IT Services & Consulting | Chennai +38 other locations,None,"Promotions, Salary, Company Culture",15.3k,297,122,7,24
342,Sonalika Tractors,3.5,2.6k,Automobile | Hoshiarpur +195 other locations,None,"Promotions, Company Culture, Work Satisfaction",9.3k,177,1,175,4
343,Gallagher,3.6,2.6k,Insurance | Bengaluru +29 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",14.8k,280,122,127,1
344,Photon Interactive,4.1,2.6k,IT Services & Consulting | Chennai +19 other locations,"Work Satisfaction, Skill Development, Salary",None,7.7k,140,722,123,--
345,BlackBuck,3.7,2.6k,Internet | Bengaluru +362 other locations,None,"Job Security, Promotions",6.4k,218,29,248,13
346,Tata Advanced Systems,3.7,2.6k,Defence & Aerospace | Bengaluru +58 other locations,Job Security,"Promotions, Salary",13.1k,193,--,141,6
347,NoBroker,3.0,2.6k,Internet | Bengaluru +46 other locations,None,"Job Security, Promotions, Work Satisfaction",10.9k,288,329,359,25
348,Adani Power,3.7,2.6k,Power | Mundra +129 other locations,None,Promotions,10.1k,327,--,170,10
349,DBS Bank,3.7,2.6k,Banking | Hyderabad +180 other locations,Salary,"Promotions, Work Satisfaction",13.4k,203,314,196,11
350,ACT Fibernet,3.8,2.6k,Telecom | Hyderabad +57 other locations,"Company Culture, Job Security",Promotions,7.9k,166,146,259,6
351,Domino's Pizza,3.9,2.6k,Hospitality | New Delhi +253 other locations,"Skill Development, Salary",None,4.3k,138,--,399,16
352,Foundever,3.4,2.6k,BPO | Hyderabad +21 other locations,None,"Promotions, Salary, Work Satisfaction",9.1k,187,37,204,14
353,IntouchCX,2.7,2.6k,BPO | Hyderabad +22 other locations,None,"Promotions, Job Security, Company Culture",10.4k,241,175,154,17
354,Fortis Healthcare,4.0,2.6k,Healthcare | New Delhi +69 other locations,"Job Security, Company Culture, Work Life Balance",None,7.7k,197,1k,144,3
355,Himalaya Wellness,3.9,2.6k,Pharma | Bengaluru +243 other locations,"Company Culture, Work Life Balance",Promotions,6k,152,34,261,9
356,BT Group,3.8,2.6k,Telecom | Gurugram +26 other locations,"Work Life Balance, Company Culture","Promotions, Skill Development, Salary",12k,232,20,273,24
357,Laurus Labs,4.3,2.6k,Pharma | Visakhapatnam +34 other locations,"Job Security, Salary, Company Culture",None,7.3k,159,7,217,11
358,Sahrudaya Healthcare (Medicover Hospitals),4.4,2.6k,Healthcare | Hyderabad +46 other locations,"Work Life Balance, Skill Development, Company Culture",None,3.6k,147,21,1,4
359,V-Mart,4.0,2.5k,Retail | Gurugram +286 other locations,"Skill Development, Job Security, Company Culture",None,4.8k,196,26,218,15
360,JCB,3.9,2.5k,Industrial Machinery | Pune +111 other locations,Work Life Balance,Promotions,9.9k,174,--,237,8
361,Alldigi Tech,3.9,2.5k,BPO | Chennai +36 other locations,"Work Life Balance, Job Security",Promotions,7.6k,237,19,113,33
362,Sterlite Technologies,3.8,2.5k,Hardware & Networking | Chhatrapati Sambhajinagar +100 other locations,None,"Promotions, Job Security",10.1k,186,128,213,10
363,Northern Trust Operating Services,3.6,2.5k,Financial Services | Bengaluru +27 other locations,None,"Promotions, Salary, Work Satisfaction",17.8k,244,106,229,13
364,Tractors and Farm Equipment,3.9,2.5k,Industrial Machinery | Chennai +192 other locations,"Work Life Balance, Skill Development",Promotions,8.5k,138,36,281,9
365,Bajaj Electricals,3.9,2.5k,Consumer Electronics & Appliances | Mumbai +233 other locations,"Work Life Balance, Salary",Promotions,7.2k,154,18,292,6
366,Sammaan Capital Limited,3.7,2.5k,NBFC | Gurugram +199 other locations,Work Life Balance,Promotions,5.8k,114,23,121,2
367,Parle Agro,3.9,2.5k,Beverage | Mumbai +259 other locations,"Work Life Balance, Job Security",Promotions,6.8k,150,1,214,9
368,Adani Group,3.8,2.5k,Power | Ahmedabad +201 other locations,Salary,Promotions,11.2k,308,542,110,8
369,CorroHealth Infotech,3.6,2.5k,Analytics & KPO | Hyderabad +38 other locations,Salary,"Work Life Balance, Promotions, Work Satisfaction",7.8k,286,49,13,18
370,ICICI Securities,3.9,2.5k,Financial Services | Mumbai +151 other locations,"Job Security, Work Life Balance, Company Culture",Promotions,9.6k,200,8,192,4
371,Planet Spark,3.8,2.5k,EdTech | Gurugram +59 other locations,"Skill Development, Company Culture",None,3.8k,602,71,197,1
372,Emcure Pharmaceuticals,3.6,2.5k,Pharma | Pune +119 other locations,None,"Promotions, Job Security, Company Culture",8.5k,131,67,240,13
373,Biocon Limited,4.0,2.5k,Biotechnology | Bengaluru +66 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,11.6k,189,36,5,1
374,McDonald's,3.9,2.4k,Hospitality | New Delhi +151 other locations,"Skill Development, Job Security",Salary,5k,160,--,413,6
375,Intellect Design Arena,3.5,2.4k,Software Product | Chennai +40 other locations,Job Security,"Promotions, Company Culture, Work Life Balance",14k,183,24,118,8
376,Hero FinCorp,3.9,2.4k,NBFC | New Delhi +395 other locations,"Work Life Balance, Company Culture",Promotions,5.8k,124,54,129,2
377,Paras Hospital,4.1,2.4k,Healthcare | Patna +60 other locations,"Work Life Balance, Skill Development, Salary",None,3.2k,103,73,130,43
378,TaskUs,3.0,2.4k,BPO | Indore +37 other locations,None,"Promotions, Job Security, Skill Development",10k,232,254,125,15
379,Mahindra Holidays & Resorts,3.5,2.4k,Hospitality | Mumbai +114 other locations,None,"Promotions, Work Life Balance, Company Culture",6k,135,65,202,16
380,Datamatics Global Services,3.4,2.4k,IT Services & Consulting | Mumbai +37 other locations,None,"Promotions, Salary, Company Culture",11.7k,184,49,186,5
381,Mahindra Rural Housing Finance,4.0,2.4k,NBFC | Mumbai +471 other locations,"Work Life Balance, Company Culture",Promotions,4.8k,105,12,183,6
382,Patanjali Ayurved,3.9,2.4k,FMCG | Haridwar +298 other locations,Work Life Balance,Promotions,5.8k,139,--,249,3
383,Cadila Pharmaceuticals,3.2,2.4k,Pharma | Ahmedabad +136 other locations,None,"Job Security, Promotions, Company Culture",8.2k,165,516,174,13
384,Statestreet HCL Services,3.4,2.4k,BPO | Chennai +18 other locations,None,"Promotions, Salary, Company Culture",12.9k,221,--,201,--
385,Syngene International,3.8,2.4k,Clinical Research | Bengaluru +22 other locations,Work Life Balance,"Promotions, Salary",12.7k,191,8,219,16
386,GAO Tek,4.4,2.4k,Electrical Equipment | New York +45 other locations,"Work Life Balance, Skill Development, Company Culture",Salary,264,655,--,60,1
